44
DamID DamName DamLat DamLon UpArea DamIX DamIY FldVol_mcm ConVol_mcm TotVol_mcm Qn Qf DamYear
1 "Mequinenza" 41.35 0.25 57213.673472 97 75 567.51 966.29 1533.8 172.0 928.431 1966
2 "Canelles" 41.95 0.6500000000000057 1677.07392 101 69 254.38 433.12 687.5 10.77 232.806 1960
3 "ItoizDam" 42.85 -1.3499999999999943 507.575584 81 60 216.82 369.18 586.0 7.17 121.818 2003
4 "Ebro" 42.75 -3.8499999999999943 447.843136 56 61 199.8 340.2 540.0 0.85 33.738 1945
5 "Yesa" 42.65 -1.1500000000000057 2206.41664 83 62 165.35 281.55 446.9 40.1 515.616 1959
6 "Mediano" 42.35 0.25 1836.720896 97 65 162.06 275.94 438.0 24.13 309.327 1959
7 "Rialb" 41.95 1.25 3290.445056 107 69 148.74 253.26 402.0 21.55 534.504 1999
8 "ElGrado1" 42.15 0.25 2163.97312 97 67 147.63 251.37 399.0 25.67 340.551 1969
9 "SantaAna" 41.95 0.549999999999983 1764.091136 100 69 87.69 149.31 237.0 10.83 237.702 1961
10 "Ribarroja" 41.25 0.3499999999999943 81886.765056 98 76 76.55 130.35 206.9 276.16 1706.313 1969
11 "Talarn" 42.25 0.9499999999999886 2032.397056 104 66 75.89 129.21 205.1 18.34 318.966 1916
12 "LaSotonera" 42.25 -0.6500000000000057 216.451056 88 66 67.19 114.41 181.6 0.21 23.652 1963
13 "Camarasa" 42.05 0.75 2703.910912 102 68 60.46 102.94 163.4 21.51 369.501 1920
14 "Escales" 42.35 0.75 737.738304 102 65 56.91 96.89 153.8 6.49 101.526 1955
15 "Ullivarri" 42.95 -2.5500000000000114 287.600672 69 59 54.39 92.61 147.0 1.71 35.697 1957
16 "SanSalvador" 41.75 0.25 32.2179 97 71 45.88 78.12 124.0 0.01 2.376 2013
17 "LaLoteta" 42.05 -1.0500000000000114 26.846572 84 68 38.78 66.02 104.8 0.01 3.999 2009
18 "Mularroya" 41.35 -1.450000000000017 186.10368 80 75 38.11 64.89 103.0 0.03 6.432 2016
19 "Oliana" 42.15 1.3499999999999943 2658.212352 108 67 37.41 63.69 101.1 18.78 467.568 1959
20 "Barasona" 42.15 0.3499999999999943 1512.987136 98 67 34.11 58.09 92.2 11.45 206.601 1932
21 "Alloz" 42.75 -2.1500000000000057 181.604768 73 61 31.19 53.11 84.3 1.29 31.824 1930
22 "LaTranquera" 41.25 -1.75 1482.917888 77 76 30.97 52.73 83.7 0.8 40.656 1960
23 "Caspe2" 41.15 -0.05000000000001137 3670.702336 94 77 30.19 51.41 81.6 3.54 380.433 1989
24 "LeLanoux" 42.45 1.8499999999999943 45.085188 113 64 27.01 45.99 73.0 0.31 10.881 1960
25 "Urrunaga" 42.75 -2.450000000000017 135.22784 70 61 26.64 45.36 72.0 0.89 22.512 1957
26 "Mansilla" 42.15 -2.950000000000017 241.37376 65 67 25.05 42.65 67.7 0.98 29.631 1960
27 "Bubal" 42.75 -0.3499999999999943 283.836544 91 61 23.79 40.51 64.3 5.95 79.281 1971
28 "Calanda" 40.85 -0.25 2637.305344 92 80 20.28 34.52 54.8 2.71 332.166 1982
29 "Santolea" 40.75 -0.3499999999999943 1242.886144 91 81 19.43 33.08 52.5 0.97 111.822 1932
30 "Pajares" 42.35 -2.8499999999999943 99.942088 66 65 12.95 22.05 35.0 0.44 14.133 1994
31 "Terradets" 42.05 0.8499999999999943 2596.64896 103 68 12.28 20.92 33.2 21.26 364.548 1935
32 "GonzalezLacasa" 42.15 -2.450000000000017 42.334092 70 67 12.17 20.73 32.9 0.08 3.066 1962
33 "CuevaForadada" 40.95 -0.6500000000000057 807.535232 88 79 9.73 16.57 26.3 0.38 39.927 1926
34 "Lanuza" 42.75 -0.5500000000000114 116.937144 89 61 9.25 15.75 25.0 2.35 32.097 1978
35 "Alsa" 42.95 -3.950000000000017 41.610608 55 59 8.47 14.43 22.9 0.11 3.078 1921
36 "Eugui" 43.05 -1.5500000000000114 71.006064 79 58 8.1 13.8 21.9 1.09 20.718 1971
37 "Pena" 40.85 -0.05000000000001137 63.430752 94 80 6.84 11.66 18.5 0.06 10.764 1930
38 "MaideveraSaddleDam1" 41.55 -1.8499999999999943 78.22464 76 73 6.77 11.53 18.3 0.1 4.995 1981
39 "LaPena" 42.35 -0.6500000000000057 1554.209664 88 65 5.7 9.7 15.4 16.04 259.455 1913
40 "Irabia" 42.95 -1.3499999999999943 108.143984 81 59 5.03 8.57 13.6 1.47 28.71 1925
41 "Ciurana" 41.35 0.9499999999999886 63.001236 104 75 4.62 7.88 12.5 0.08 13.527 1972
42 "Flix" 41.35 0.549999999999983 82180.972544 100 75 4.22 7.18 11.4 276.36 1665.138 1948
43 "MonteagudodelasVicarias" 41.15 -2.0500000000000114 30.081536 74 77 3.59 6.11 9.7 0.01 1.023 1982
44 "SanLorenzoMongay" 41.95 0.8499999999999943 7114.152448 103 69 3.52 5.98 9.5 44.2 914.889 1930
