35
DamID DamName DamLat DamLon UpArea DamIX DamIY FldVol_mcm ConVol_mcm TotVol_mcm Qn Qf DamYear
1 "Mequinenza" 41.375 0.125 57147.006976 39 31 567.51 966.29 1533.8 171.99 758.988 1966
2 "Canelles" 42.125 0.625 1627.321984 41 28 254.38 433.12 687.5 10.74 214.146 1960
3 "ItoizDam" 42.625 -1.625 349.964288 32 26 216.82 369.18 586.0 1.01 53.925 2003
4 "Ebro" 42.875 -4.125 708.101312 22 25 199.8 340.2 540.0 3.71 92.514 1945
5 "Yesa" 42.625 -1.125 2247.882752 34 26 165.35 281.55 446.9 40.59 568.644 1959
6 "Mediano" 42.375 0.125 2070.591744 39 27 162.06 275.94 438.0 25.29 319.518 1959
7 "Rialb" 42.125 1.375 2990.408192 44 28 148.74 253.26 402.0 20.59 515.778 1999
8 "Ribarroja" 41.125 0.375 82264.178688 40 32 76.55 130.35 206.9 276.57 1674.474 1969
9 "LaSotonera" 41.875 -0.625 332.556128 36 29 67.19 114.41 181.6 0.22 22.008 1963
10 "Camarasa" 42.125 0.875 2657.18016 42 28 60.46 102.94 163.4 21.46 349.239 1920
11 "Escales" 42.375 0.625 773.191488 41 27 56.91 96.89 153.8 6.68 106.221 1955
12 "Ullivarri" 42.875 -2.625 758.71904 28 25 54.39 92.61 147.0 4.07 94.572 1957
13 "SanSalvador" 41.875 0.375 487.96496 40 29 45.88 78.12 124.0 0.15 30.957 2013
14 "LaLoteta" 42.125 -1.375 553.5696 33 28 38.78 66.02 104.8 0.22 63.294 2009
15 "Mularroya" 41.375 -1.375 500.089408 33 31 38.11 64.89 103.0 0.07 16.602 2016
16 "Barasona" 42.125 0.375 1532.698624 40 28 34.11 58.09 92.2 11.57 207.03 1932
17 "Alloz" 42.875 -2.125 441.358624 30 25 31.19 53.11 84.3 2.7 71.874 1930
18 "LaTranquera" 41.125 -1.875 861.818368 31 32 30.97 52.73 83.7 0.4 24.393 1960
19 "Caspe2" 41.125 -0.125 3858.4 38 32 30.19 51.41 81.6 3.63 193.785 1989
20 "Mansilla" 42.125 -2.875 470.03024 27 28 25.05 42.65 67.7 1.99 61.485 1960
21 "Bubal" 42.625 -0.375 669.943168 37 26 23.79 40.51 64.3 14.05 190.662 1971
22 "Calanda" 40.875 -0.375 2671.771392 37 33 20.28 34.52 54.8 2.77 337.284 1982
23 "Santolea" 40.625 -0.125 1042.866944 38 34 19.43 33.08 52.5 1.43 179.928 1932
24 "PladeSoulcem" 42.625 1.375 441.004928 44 26 10.84 18.46 29.3 5.65 105.0 1983
25 "CuevaForadada" 40.875 -0.625 896.70368 36 33 9.73 16.57 26.3 0.39 39.918 1926
26 "Ordunte" 43.125 -3.375 986.810944 25 24 8.21 13.99 22.2 7.75 195.015 1934
27 "Eugui" 42.875 -1.375 787.164096 33 25 8.1 13.8 21.9 10.44 201.807 1971
28 "Pena" 40.625 0.375 245.818608 40 34 6.84 11.66 18.5 0.57 50.934 1930
29 "MaideveraSaddleDam1" 41.875 -1.875 237.673776 31 29 6.77 11.53 18.3 0.22 11.916 1981
30 "Laparan" 42.625 1.625 546.153216 45 26 5.92 10.08 16.0 4.65 111.843 1985
31 "LaPena" 42.625 -0.875 1474.841216 35 26 5.7 9.7 15.4 28.37 435.174 1913
32 "Irabia" 42.875 -0.875 386.253824 35 25 5.03 8.57 13.6 7.1 106.971 1925
33 "Ciurana" 41.375 0.625 213.040832 41 31 4.62 7.88 12.5 0.27 46.074 1972
34 "MonteagudodelasVicarias" 41.125 -2.125 582.708608 30 32 3.59 6.11 9.7 0.38 18.822 1982
35 "SanLorenzoMongay" 41.875 0.875 7759.541248 42 29 3.52 5.98 9.5 44.61 889.833 1930
